,value,type,band
642,4029,Barren,B6
643,4235,Barren,B6
644,4612,Barren,B6
645,4085,Barren,B6
646,4609,Barren,B6
647,4453,Barren,B6
648,4401,Barren,B6
649,4506,Barren,B6
650,4674,Barren,B6
651,5091,Barren,B6
652,5017,Barren,B6
653,4817,Barren,B6
654,4844,Barren,B6
655,4958,Barren,B6
656,4595,Barren,B6
657,5077,Barren,B6
658,4635,Barren,B6
659,4382,Barren,B6
660,4719,Barren,B6
661,4398,Barren,B6
662,4753,Barren,B6
663,4967,Barren,B6
664,5353,Barren,B6
665,4717,Barren,B6
666,3544,Barren,B6
667,4745,Barren,B6
668,4880,Barren,B6
669,5364,Barren,B6
670,4487,Barren,B6
671,5269,Barren,B6
672,5052,Barren,B6
673,4950,Barren,B6
674,6064,Barren,B6
675,4773,Marked,B6
676,2832,Marked,B6
677,2093,Marked,B6
678,1946,Marked,B6
679,1827,Marked,B6
680,1697,Marked,B6
681,2572,Marked,B6
682,1763,Marked,B6
683,1762,Marked,B6
684,2181,Marked,B6
685,2309,Marked,B6
686,2209,Marked,B6
687,1908,Marked,B6
688,719,Marked,B6
689,1373,Marked,B6
690,2319,Marked,B6
691,2461,Marked,B6
692,1657,Marked,B6
693,2223,Marked,B6
694,1806,Marked,B6
695,2254,Marked,B6
696,1698,Marked,B6
697,2170,Marked,B6
698,1331,Marked,B6
699,1329,Marked,B6
700,1949,Unmarked,B6
701,1763,Unmarked,B6
702,2104,Unmarked,B6
703,2395,Unmarked,B6
704,2211,Unmarked,B6
705,2200,Unmarked,B6
706,2293,Unmarked,B6
707,2556,Unmarked,B6
708,2654,Unmarked,B6
709,2135,Unmarked,B6
710,2699,Unmarked,B6
711,2268,Unmarked,B6
712,1976,Unmarked,B6
713,2410,Unmarked,B6
714,2204,Unmarked,B6
715,2030,Unmarked,B6
716,2191,Unmarked,B6
717,1841,Unmarked,B6
718,2122,Unmarked,B6
719,2176,Unmarked,B6
720,2451,Unmarked,B6
721,2353,Unmarked,B6
722,1897,Unmarked,B6
723,1901,Unmarked,B6
724,2162,Unmarked,B6
725,2387,Unmarked,B6
726,2641,Unmarked,B6
727,2237,Unmarked,B6
728,2188,Unmarked,B6
729,2401,Unmarked,B6
730,1921,Unmarked,B6
731,2327,Unmarked,B6
732,1868,Unmarked,B6
733,2216,Unmarked,B6
734,2791,Unmarked,B6
735,2102,Unmarked,B6
736,2276,Unmarked,B6
737,2189,Unmarked,B6
738,2271,Unmarked,B6
739,2297,Unmarked,B6
740,2240,Unmarked,B6
741,2558,Unmarked,B6
742,1979,Unmarked,B6
743,1682,Unmarked,B6
744,2300,Unmarked,B6
